                                                                                                                    
{'loss': 1.2778, 'grad_norm': 11.181410789489746, 'learning_rate': 4.999458946515808e-06, 'epoch': 0.06}
{'loss': 1.3006, 'grad_norm': 2.172414779663086, 'learning_rate': 4.999263575683644e-06, 'epoch': 0.06}
{'loss': 1.1854, 'grad_norm': 1.930120587348938, 'learning_rate': 4.999038154125061e-06, 'epoch': 0.06}
{'loss': 1.2319, 'grad_norm': 2.023855447769165, 'learning_rate': 4.9987826845504916e-06, 'epoch': 0.06}
{'loss': 1.1601, 'grad_norm': 1.9343427419662476, 'learning_rate': 4.998497170031657e-06, 'epoch': 0.06}
{'loss': 1.1972, 'grad_norm': 1.8937492370605469, 'learning_rate': 4.998181614001539e-06, 'epoch': 0.06}
{'loss': 1.2095, 'grad_norm': 2.3465728759765625, 'learning_rate': 4.997836020254328e-06, 'epoch': 0.06}
{'loss': 1.2016, 'grad_norm': 1.9992905855178833, 'learning_rate': 4.997460392945386e-06, 'epoch': 0.06}
{'loss': 1.3001, 'grad_norm': 2.0240437984466553, 'learning_rate': 4.997054736591193e-06, 'epoch': 0.06}
{'loss': 1.1973, 'grad_norm': 3.1200923919677734, 'learning_rate': 4.996619056069292e-06, 'epoch': 0.07}
{'loss': 1.2163, 'grad_norm': 3.2099127769470215, 'learning_rate': 4.996153356618234e-06, 'epoch': 0.07}
{'loss': 1.1489, 'grad_norm': 1.916220784187317, 'learning_rate': 4.99565764383751e-06, 'epoch': 0.07}
{'loss': 1.2015, 'grad_norm': 3.451547622680664, 'learning_rate': 4.995131923687488e-06, 'epoch': 0.07}
{'loss': 1.171, 'grad_norm': 1.9259800910949707, 'learning_rate': 4.994576202489339e-06, 'epoch': 0.07}
{'loss': 1.1943, 'grad_norm': 1.9599411487579346, 'learning_rate': 4.993990486924962e-06, 'epoch': 0.07}
{'loss': 1.1651, 'grad_norm': 2.330789566040039, 'learning_rate': 4.993374784036902e-06, 'epoch': 0.07}
{'loss': 1.1955, 'grad_norm': 5.464857578277588, 'learning_rate': 4.992729101228267e-06, 'epoch': 0.07}
{'loss': 1.1859, 'grad_norm': 2.531726837158203, 'learning_rate': 4.99205344626264e-06, 'epoch': 0.07}
{'loss': 1.1651, 'grad_norm': 1.9593011140823364, 'learning_rate': 4.991347827263983e-06, 'epoch': 0.08}
{'loss': 1.1857, 'grad_norm': 2.5463201999664307, 'learning_rate': 4.99061225271654e-06, 'epoch': 0.08}
{'loss': 1.2258, 'grad_norm': 2.2021594047546387, 'learning_rate': 4.989846731464736e-06, 'epoch': 0.08}
{'loss': 1.2035, 'grad_norm': 1.763594627380371, 'learning_rate': 4.98905127271307e-06, 'epoch': 0.08}
{'loss': 1.2218, 'grad_norm': 1.8056248426437378, 'learning_rate': 4.9882258860260065e-06, 'epoch': 0.08}
{'loss': 1.144, 'grad_norm': 1.6711729764938354, 'learning_rate': 4.987370581327855e-06, 'epoch': 0.08}
{'loss': 1.1005, 'grad_norm': 1.7990652322769165, 'learning_rate': 4.986485368902656e-06, 'epoch': 0.08}
{'loss': 1.2182, 'grad_norm': 1.692449927330017, 'learning_rate': 4.985570259394056e-06, 'epoch': 0.08}
{'loss': 1.1886, 'grad_norm': 1.7090096473693848, 'learning_rate': 4.984625263805178e-06, 'epoch': 0.08}
{'loss': 1.2125, 'grad_norm': 1.6803786754608154, 'learning_rate': 4.98365039349849e-06, 'epoch': 0.08}
{'loss': 1.1402, 'grad_norm': 4.8177995681762695, 'learning_rate': 4.982645660195671e-06, 'epoch': 0.09}
{'loss': 1.167, 'grad_norm': 4.559909343719482, 'learning_rate': 4.981611075977465e-06, 'epoch': 0.09}
{'loss': 1.1338, 'grad_norm': 1.8058439493179321, 'learning_rate': 4.980546653283538e-06, 'epoch': 0.09}
{'loss': 1.1689, 'grad_norm': 1.7707457542419434, 'learning_rate': 4.979452404912332e-06, 'epoch': 0.09}
{'loss': 1.1558, 'grad_norm': 4.054248332977295, 'learning_rate': 4.978328344020904e-06, 'epoch': 0.09}
{'loss': 1.2274, 'grad_norm': 7.694291114807129, 'learning_rate': 4.977174484124776e-06, 'epoch': 0.09}
{'loss': 1.1193, 'grad_norm': 1.8010402917861938, 'learning_rate': 4.975990839097764e-06, 'epoch': 0.09}
{'loss': 1.2033, 'grad_norm': 1.8182291984558105, 'learning_rate': 4.97477742317182e-06, 'epoch': 0.09}
{'loss': 1.1543, 'grad_norm': 1.6777156591415405, 'learning_rate': 4.973534250936851e-06, 'epoch': 0.09}
{'loss': 1.1765, 'grad_norm': 3.385258913040161, 'learning_rate': 4.9722613373405535e-06, 'epoch': 0.1}
{'loss': 1.1322, 'grad_norm': 1.5518622398376465, 'learning_rate': 4.970958697688226e-06, 'epoch': 0.1}
{'loss': 1.1787, 'grad_norm': 1.6476140022277832, 'learning_rate': 4.96962634764259e-06, 'epoch': 0.1}
{'loss': 1.103, 'grad_norm': 3.7953505516052246, 'learning_rate': 4.9682643032236e-06, 'epoch': 0.1}
{'loss': 1.1589, 'grad_norm': 4.683732032775879, 'learning_rate': 4.966872580808249e-06, 'epoch': 0.1}
{'loss': 1.1799, 'grad_norm': 4.789872169494629, 'learning_rate': 4.965451197130373e-06, 'epoch': 0.1}
{'loss': 1.1154, 'grad_norm': 1.7737905979156494, 'learning_rate': 4.964000169280453e-06, 'epoch': 0.1}
{'loss': 1.2028, 'grad_norm': 1.6052196025848389, 'learning_rate': 4.962519514705404e-06, 'epoch': 0.1}
{'loss': 1.0718, 'grad_norm': 1.7798559665679932, 'learning_rate': 4.961009251208368e-06, 'epoch': 0.1}
{'loss': 1.1475, 'grad_norm': 1.9543163776397705, 'learning_rate': 4.959469396948501e-06, 'epoch': 0.1}
{'loss': 1.2282, 'grad_norm': 1.5294028520584106, 'learning_rate': 4.957899970440752e-06, 'epoch': 0.11}
{'loss': 1.1601, 'grad_norm': 1.4797825813293457, 'learning_rate': 4.956300990555643e-06, 'epoch': 0.11}
{'loss': 1.1087, 'grad_norm': 1.5191041231155396, 'learning_rate': 4.95467247651904e-06, 'epoch': 0.11}
{'loss': 1.1308, 'grad_norm': 1.4678128957748413, 'learning_rate': 4.953014447911922e-06, 'epoch': 0.11}
{'loss': 1.1436, 'grad_norm': 1.4853435754776, 'learning_rate': 4.951326924670148e-06, 'epoch': 0.11}
{'loss': 1.2079, 'grad_norm': 12.547609329223633, 'learning_rate': 4.949609927084215e-06, 'epoch': 0.11}
{'loss': 1.1954, 'grad_norm': 23.291187286376953, 'learning_rate': 4.947863475799013e-06, 'epoch': 0.11}
{'loss': 1.17, 'grad_norm': 4.208165168762207, 'learning_rate': 4.946087591813581e-06, 'epoch': 0.11}
{'loss': 1.1444, 'grad_norm': 1.7459180355072021, 'learning_rate': 4.944282296480849e-06, 'epoch': 0.11}
{'loss': 1.1079, 'grad_norm': 4.664113521575928, 'learning_rate': 4.942447611507386e-06, 'epoch': 0.12}
{'loss': 1.1503, 'grad_norm': 1.5929090976715088, 'learning_rate': 4.940583558953138e-06, 'epoch': 0.12}
{'loss': 0.9986, 'grad_norm': 1.4040759801864624, 'learning_rate': 4.938690161231159e-06, 'epoch': 0.12}
{'loss': 1.1631, 'grad_norm': 1.4106937646865845, 'learning_rate': 4.936767441107346e-06, 'epoch': 0.12}
{'loss': 1.1611, 'grad_norm': 4.645840644836426, 'learning_rate': 4.934815421700166e-06, 'epoch': 0.12}
{'loss': 1.0968, 'grad_norm': 2.169919729232788, 'learning_rate': 4.932834126480368e-06, 'epoch': 0.12}
{'loss': 1.1232, 'grad_norm': 1.577409267425537, 'learning_rate': 4.930823579270719e-06, 'epoch': 0.12}
{'loss': 1.1434, 'grad_norm': 1.5266335010528564, 'learning_rate': 4.9287838042457e-06, 'epoch': 0.12}
{'loss': 1.1665, 'grad_norm': 1.9505248069763184, 'learning_rate': 4.926714825931223e-06, 'epoch': 0.12}
{'loss': 1.1632, 'grad_norm': 1.6495829820632935, 'learning_rate': 4.924616669204337e-06, 'epoch': 0.12}
{'loss': 1.0835, 'grad_norm': 1.4518898725509644, 'learning_rate': 4.922489359292928e-06, 'epoch': 0.13}
{'loss': 1.0576, 'grad_norm': 93.62239837646484, 'learning_rate': 4.9203329217754125e-06, 'epoch': 0.13}
{'loss': 1.2287, 'grad_norm': 1.537676453590393, 'learning_rate': 4.918147382580435e-06, 'epoch': 0.13}
{'loss': 1.1618, 'grad_norm': 1.4888108968734741, 'learning_rate': 4.915932767986552e-06, 'epoch': 0.13}
{'loss': 1.1467, 'grad_norm': 1.4713915586471558, 'learning_rate': 4.913689104621917e-06, 'epoch': 0.13}
{'loss': 1.2345, 'grad_norm': 3.3787178993225098, 'learning_rate': 4.9114164194639645e-06, 'epoch': 0.13}
{'loss': 1.1472, 'grad_norm': 1.8315730094909668, 'learning_rate': 4.90911473983908e-06, 'epoch': 0.13}
{'loss': 1.066, 'grad_norm': 1.644442081451416, 'learning_rate': 4.9067840934222705e-06, 'epoch': 0.13}
{'loss': 1.1559, 'grad_norm': 2.1463804244995117, 'learning_rate': 4.904424508236841e-06, 'epoch': 0.13}
{'loss': 1.2079, 'grad_norm': 1.5649704933166504, 'learning_rate': 4.902036012654048e-06, 'epoch': 0.14}
{'loss': 1.1454, 'grad_norm': 3.6544618606567383, 'learning_rate': 4.899618635392761e-06, 'epoch': 0.14}
{'loss': 1.0648, 'grad_norm': 1.4414366483688354, 'learning_rate': 4.8971724055191194e-06, 'epoch': 0.14}
{'loss': 1.2012, 'grad_norm': 1.7258464097976685, 'learning_rate': 4.894697352446182e-06, 'epoch': 0.14}
{'loss': 1.1293, 'grad_norm': 1.8009974956512451, 'learning_rate': 4.892193505933573e-06, 'epoch': 0.14}
{'loss': 1.143, 'grad_norm': 1.4441946744918823, 'learning_rate': 4.8896608960871194e-06, 'epoch': 0.14}
{'loss': 1.1056, 'grad_norm': 1.4761465787887573, 'learning_rate': 4.887099553358502e-06, 'epoch': 0.14}
{'loss': 1.0996, 'grad_norm': 1.5381054878234863, 'learning_rate': 4.884509508544874e-06, 'epoch': 0.14}
{'loss': 1.2236, 'grad_norm': 1.6306824684143066, 'learning_rate': 4.8818907927885016e-06, 'epoch': 0.14}
{'loss': 1.1535, 'grad_norm': 1.401700496673584, 'learning_rate': 4.879243437576383e-06, 'epoch': 0.14}
{'loss': 1.1102, 'grad_norm': 1.4729846715927124, 'learning_rate': 4.876567474739875e-06, 'epoch': 0.15}
{'loss': 1.1281, 'grad_norm': 1.8322956562042236, 'learning_rate': 4.873862936454305e-06, 'epoch': 0.15}
{'loss': 1.1522, 'grad_norm': 1.6139148473739624, 'learning_rate': 4.871129855238589e-06, 'epoch': 0.15}
{'loss': 1.1288, 'grad_norm': 1.3567737340927124, 'learning_rate': 4.868368263954837e-06, 'epoch': 0.15}
{'loss': 1.2232, 'grad_norm': 1.463842511177063, 'learning_rate': 4.8655781958079596e-06, 'epoch': 0.15}
{'loss': 1.0865, 'grad_norm': 1.4476196765899658, 'learning_rate': 4.862759684345269e-06, 'epoch': 0.15}
{'loss': 1.2047, 'grad_norm': 1.396155595779419, 'learning_rate': 4.859912763456076e-06, 'epoch': 0.15}
{'loss': 1.0713, 'grad_norm': 7.655786991119385, 'learning_rate': 4.857037467371278e-06, 'epoch': 0.15}
{'loss': 1.2014, 'grad_norm': 1.9056339263916016, 'learning_rate': 4.854133830662955e-06, 'epoch': 0.15}
{'loss': 1.1207, 'grad_norm': 1.4771298170089722, 'learning_rate': 4.8512018882439475e-06, 'epoch': 0.16}
{'loss': 1.2014, 'grad_norm': 1.4723788499832153, 'learning_rate': 4.84824167536744e-06, 'epoch': 0.16}
{'loss': 1.105, 'grad_norm': 1.551300048828125, 'learning_rate': 4.8452532276265366e-06, 'epoch': 0.16}
{'loss': 1.1183, 'grad_norm': 1.4462735652923584, 'learning_rate': 4.84223658095383e-06, 'epoch': 0.16}
{'loss': 1.1545, 'grad_norm': 1.5534725189208984, 'learning_rate': 4.839191771620977e-06, 'epoch': 0.16}
{'loss': 1.1791, 'grad_norm': 1.6493581533432007, 'learning_rate': 4.836118836238253e-06, 'epoch': 0.16}
{'loss': 1.1679, 'grad_norm': 1.3753931522369385, 'learning_rate': 4.833017811754119e-06, 'epoch': 0.16}
{'loss': 1.1493, 'grad_norm': 1.4349825382232666, 'learning_rate': 4.829888735454773e-06, 'epoch': 0.16}
