                                                                                                                                                      
{'loss': 1.2771, 'grad_norm': 23.389097213745117, 'learning_rate': 4.999458946515808e-06, 'epoch': 0.06}
{'loss': 1.3008, 'grad_norm': 2.2447900772094727, 'learning_rate': 4.999263575683644e-06, 'epoch': 0.06}
{'loss': 1.1871, 'grad_norm': 2.014456272125244, 'learning_rate': 4.999038154125061e-06, 'epoch': 0.06}
{'loss': 1.2321, 'grad_norm': 2.04386043548584, 'learning_rate': 4.9987826845504916e-06, 'epoch': 0.06}
{'loss': 1.1603, 'grad_norm': 1.9863873720169067, 'learning_rate': 4.998497170031657e-06, 'epoch': 0.06}
{'loss': 1.1979, 'grad_norm': 1.9527653455734253, 'learning_rate': 4.998181614001539e-06, 'epoch': 0.06}
{'loss': 1.2102, 'grad_norm': 3.2735211849212646, 'learning_rate': 4.997836020254328e-06, 'epoch': 0.06}
{'loss': 1.2018, 'grad_norm': 1.9421738386154175, 'learning_rate': 4.997460392945386e-06, 'epoch': 0.06}
{'loss': 1.2996, 'grad_norm': 3.2878925800323486, 'learning_rate': 4.997054736591193e-06, 'epoch': 0.06}
{'loss': 1.1915, 'grad_norm': 3.745681047439575, 'learning_rate': 4.996619056069292e-06, 'epoch': 0.07}
{'loss': 1.2169, 'grad_norm': 2.005490303039551, 'learning_rate': 4.996153356618234e-06, 'epoch': 0.07}
{'loss': 1.1488, 'grad_norm': 1.8402107954025269, 'learning_rate': 4.99565764383751e-06, 'epoch': 0.07}
{'loss': 1.201, 'grad_norm': 4.528147220611572, 'learning_rate': 4.995131923687488e-06, 'epoch': 0.07}
{'loss': 1.1701, 'grad_norm': 2.0855398178100586, 'learning_rate': 4.994576202489339e-06, 'epoch': 0.07}
{'loss': 1.1948, 'grad_norm': 1.9581258296966553, 'learning_rate': 4.993990486924962e-06, 'epoch': 0.07}
{'loss': 1.1769, 'grad_norm': 739.2298583984375, 'learning_rate': 4.993374784036902e-06, 'epoch': 0.07}
{'loss': 1.1999, 'grad_norm': 79.74707794189453, 'learning_rate': 4.992729101228267e-06, 'epoch': 0.07}
{'loss': 1.1846, 'grad_norm': 3.765873908996582, 'learning_rate': 4.99205344626264e-06, 'epoch': 0.07}
{'loss': 1.1683, 'grad_norm': 1.959725260734558, 'learning_rate': 4.991347827263983e-06, 'epoch': 0.08}
{'loss': 1.1784, 'grad_norm': 3.2069015502929688, 'learning_rate': 4.99061225271654e-06, 'epoch': 0.08}
{'loss': 1.2288, 'grad_norm': 2.340059518814087, 'learning_rate': 4.989846731464736e-06, 'epoch': 0.08}
{'loss': 1.2062, 'grad_norm': 1.8073503971099854, 'learning_rate': 4.98905127271307e-06, 'epoch': 0.08}
{'loss': 1.2255, 'grad_norm': 2.515666961669922, 'learning_rate': 4.9882258860260065e-06, 'epoch': 0.08}
{'loss': 1.1486, 'grad_norm': 1.9712557792663574, 'learning_rate': 4.987370581327855e-06, 'epoch': 0.08}
{'loss': 1.1031, 'grad_norm': 2.5425288677215576, 'learning_rate': 4.986485368902656e-06, 'epoch': 0.08}
{'loss': 1.2218, 'grad_norm': 1.7808079719543457, 'learning_rate': 4.985570259394056e-06, 'epoch': 0.08}
{'loss': 1.1918, 'grad_norm': 2.294450521469116, 'learning_rate': 4.984625263805178e-06, 'epoch': 0.08}
{'loss': 1.2139, 'grad_norm': 1.6838856935501099, 'learning_rate': 4.98365039349849e-06, 'epoch': 0.08}
{'loss': 1.1352, 'grad_norm': 2.4079933166503906, 'learning_rate': 4.982645660195671e-06, 'epoch': 0.09}
{'loss': 1.1684, 'grad_norm': 1.7416330575942993, 'learning_rate': 4.981611075977465e-06, 'epoch': 0.09}
{'loss': 1.1333, 'grad_norm': 1.7883076667785645, 'learning_rate': 4.980546653283538e-06, 'epoch': 0.09}
{'loss': 1.171, 'grad_norm': 1.6529779434204102, 'learning_rate': 4.979452404912332e-06, 'epoch': 0.09}
{'loss': 1.1487, 'grad_norm': 1.7928940057754517, 'learning_rate': 4.978328344020904e-06, 'epoch': 0.09}
{'loss': 1.1991, 'grad_norm': 3.519145965576172, 'learning_rate': 4.977174484124776e-06, 'epoch': 0.09}
{'loss': 1.1189, 'grad_norm': 1.788106918334961, 'learning_rate': 4.975990839097764e-06, 'epoch': 0.09}
{'loss': 1.2032, 'grad_norm': 1.569075345993042, 'learning_rate': 4.97477742317182e-06, 'epoch': 0.09}
{'loss': 1.1541, 'grad_norm': 3.070744037628174, 'learning_rate': 4.973534250936851e-06, 'epoch': 0.09}
{'loss': 1.1723, 'grad_norm': 1.8940777778625488, 'learning_rate': 4.9722613373405535e-06, 'epoch': 0.1}
{'loss': 1.1333, 'grad_norm': 1.541204810142517, 'learning_rate': 4.970958697688226e-06, 'epoch': 0.1}
{'loss': 1.179, 'grad_norm': 2.894329309463501, 'learning_rate': 4.96962634764259e-06, 'epoch': 0.1}
{'loss': 1.0988, 'grad_norm': 3.0050928592681885, 'learning_rate': 4.9682643032236e-06, 'epoch': 0.1}
{'loss': 1.1445, 'grad_norm': 2.7789835929870605, 'learning_rate': 4.966872580808249e-06, 'epoch': 0.1}
{'loss': 1.1604, 'grad_norm': 1.8462114334106445, 'learning_rate': 4.965451197130373e-06, 'epoch': 0.1}
{'loss': 1.1141, 'grad_norm': 1.519445776939392, 'learning_rate': 4.964000169280453e-06, 'epoch': 0.1}
{'loss': 1.2032, 'grad_norm': 1.5963228940963745, 'learning_rate': 4.962519514705404e-06, 'epoch': 0.1}
{'loss': 1.0721, 'grad_norm': 1.7180055379867554, 'learning_rate': 4.961009251208368e-06, 'epoch': 0.1}
